"title","rank","summary","meta_score","user_score","release_date","link","critics_reviews_link","user_reviews_link","listing_url"
"Rectify: Season 4","1","Daniel tries to start a new life outside of Paulie in the fourth and final season of the drama.","99","8.7","October 26, 2016","https://www.metacritic.com/tv/rectify/season-4","https://www.metacritic.com/tv/rectify/season-4/critic-reviews","https://www.metacritic.com/tv/rectify/season-4/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Larry Sanders Show: Season 4","2","Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.","99","5.8","July 19, 1995","https://www.metacritic.com/tv/the-larry-sanders-show/season-4","https://www.metacritic.com/tv/the-larry-sanders-show/season-4/critic-reviews","https://www.metacritic.com/tv/the-larry-sanders-show/season-4/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"Murder One: Season 1","3","One of several crime and law dramas created by Steven Bochco (Hill Street Blues, NYPD Blue, L.A. Law), Murder One boasted a then-unique concept: it would tell a single story -- that of a major murder trial -- over the course of an entire season. In the first season, Daniel Benzali portrayed the lead defense attorney, Patricia Clarkson played his wife, and Jason Gedrick the accused man he represented. Audiences at the time seemed deterred by the serialization, with low ratings leading to major cast and format changes in season two.","99","6.4","September 19, 1995","https://www.metacritic.com/tv/murder-one/season-1","https://www.metacritic.com/tv/murder-one/season-1/critic-reviews","https://www.metacritic.com/tv/murder-one/season-1/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Larry Sanders Show: Season 6","4","Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.","99","5.5","March 15, 1998","https://www.metacritic.com/tv/the-larry-sanders-show/season-6","https://www.metacritic.com/tv/the-larry-sanders-show/season-6/critic-reviews","https://www.metacritic.com/tv/the-larry-sanders-show/season-6/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"Breaking Bad: Season 5","5","The final season for the award-winning drama begins it's first run of eight episodes, with the remaining eight episodes airing in summer 2013.","99","9.6","July 15, 2012","https://www.metacritic.com/tv/breaking-bad/season-5","https://www.metacritic.com/tv/breaking-bad/season-5/critic-reviews","https://www.metacritic.com/tv/breaking-bad/season-5/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Office (UK): Season 3","6","This third ""season"" of the groundbreaking British workplace comedy consists of a two-part Christmas special which serves as a finale to the series.","98","8.5","December 26, 2003","https://www.metacritic.com/tv/the-office-uk/season-3","https://www.metacritic.com/tv/the-office-uk/season-3/critic-reviews","https://www.metacritic.com/tv/the-office-uk/season-3/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Office (UK): Season 1","7","""Trust, encouragement, reward, loyalty... satisfaction. That's what I'm..you know. Trust people and they'll be true to you. Treat them greatly, and they will show themselves to be great."" - David Brent. The Office tells a story of a few people working in a British office working hard to not lose their jobs. This hilarious comedy won a Golden Globe award for best comedy series. It was created by Ricky Gervais and Steve Merchant. David Brent (Ricky Gervais) is a manager of low intelligence and has no sense of humor, but is convinced that he is the best, the most entertaining and the most well liked boss of all time.Today the show has been sold in more than 60 countries and it even had a remake in America. The Office is the first non-American show nominated in the category of best television musical or comedy for a Golden Globe Award; and Ricky Gervais was the first non-American actor nominated for the lead role in a television comedy for the same award. The Office won both awards and left Sex and the City & Matt LeBlanc empty handed. When the series aired the first season, they did not even know how popular it would get in some future episodes. The fact that its release on the DVD format proved to be the BBC's best selling comedy release shows its mass popularity and appeal.The writers at the start did not imagine that a second season would be created and after bowing to pressure to create one they would not do it again for a third. The show ended on a high note after two Christmas specials which tied up knots and rounded off wonderfully the first two seasons.Opening Theme Song: ""Handbags and Gladrags"" performed by Fin.WARNING: some episodes contain quotes with strong language.","98","8.5","July 9, 2001","https://www.metacritic.com/tv/the-office-uk/season-1","https://www.metacritic.com/tv/the-office-uk/season-1/critic-reviews","https://www.metacritic.com/tv/the-office-uk/season-1/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"Bo Burnham: Inside","8","The musical comedy special was filmed by the comedian over the past year by himself, with no crew or audience.","98","8.5","May 30, 2021","https://www.metacritic.com/tv/bo-burnham-inside/season-1","https://www.metacritic.com/tv/bo-burnham-inside/season-1/critic-reviews","https://www.metacritic.com/tv/bo-burnham-inside/season-1/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Leftovers: Season 3","9","The third and final season of the Damon Lindelof drama series.","98","9.2","April 16, 2017","https://www.metacritic.com/tv/the-leftovers/season-3","https://www.metacritic.com/tv/the-leftovers/season-3/critic-reviews","https://www.metacritic.com/tv/the-leftovers/season-3/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
"The Wire: Season 3","10","In chronicling a multi-generational family business dealing illegal drugs and the efforts of the Baltimore police to curb their trade, this series draws parallels between these organizations and the men and women on either side of the battle.The words of Gary W. Potter, Professor of Criminal Justice and Police Studies at Eastern Kentucky University, in writing about the savings and loan scandals of the 1980s, can also be used to illuminate some of the central premises of the show:""There is precious little difference between those people who society designates as respectable and law abiding and those people society castigates as hoodlums and thugs. The world of corporate finance and corporate capital is as criminogenic and probably more criminogenic than any poverty-wracked slum neighborhood. The distinctions drawn between business, politics, and organized crime are at best artificial and in reality irrelevant. Rather than being dysfunctions, corporate crime, white-collar crime, organized crime, and political corruption are mainstays of American political-economic life.""Tim Goodman, the television critic for The San Francisco Chronicle, summed the show up perfectly when he wrote: ""This show is precisely the reason you pay for HBO.""In New York's Newsday, Diane Werts says: ""Most TV crime series aspire to John Grisham's level. 'The Wire' aspires to Dostoevsky's.""Season ThemesSeason One centers around a family of drug dealers and the innerworkings of their empire. It also follows the detectives who are trying to catch the high members of the empire. Season Two steps away from the drug trade (while still mentioning characters from the previous season) to a case of dead prostitutes which turns into a look at the corruption surrounding the Port. Season Three investigates politics and finishes the main stories that were left open in season one. Season Four focuses on four middle school students and their journeys through the public school system and continues to address the politics of an inner-city and the issues of an election. Season Five is rumored to be about the media's role in Baltimore. Season Five will be the show's final season.Theme MusicIn the Season One opening credits, the Blind Boys of Alabama did Tom Waits's ""Way Down in the Hole"". The Season Two opening credits feature Waits's version of the song. According to creator David Simon, ""It was our way of saying: This is the same show (song) but this year, the tale itself (singer, tonality) will be different."" The Neville Brothers's version of the song opens Season Three. The theme which plays over the end credits was composed by the show's music supervisor, Blake Leyh. International AiringsAustralia -- Monday at 12:00 p.m. on Ch.9. Currently airing Season 3. New Zealand -- Wednesday at 11:40 p.m. on TV2, beginning December 15, 2004.","98","9.4","September 19, 2004","https://www.metacritic.com/tv/the-wire/season-3","https://www.metacritic.com/tv/the-wire/season-3/critic-reviews","https://www.metacritic.com/tv/the-wire/season-3/user-reviews","https://www.metacritic.com/browse/tv/score/metascore/all/filtered?sort=desc&page=0"
